Review,PathingImage,Price,NamePackage,Country,State,Labels
"La Gran Muralla China es una antigua fortificación china,construida y reconstruida entre el siglo v a. C. y el siglo xvi para proteger la frontera norte del Imperio chino durante las sucesivas dinastías imperiales de los ataques de los nómadas xiongnu de Mongolia y Manchuria.",https://superhistoria.pl/_thumb/12/24/7b68d5c149xxe73f15a82fb0a533.jpeg,1807.3,Gran Muralla,China,,China; Gran Muralla; Muralla; Gran Muralla China; Pekín;
"La Gran Pirámide de Guiza (también conocida como pirámide de Keops o de Jufu) es, además de la mayor de las pirámides de Egipto, la más antigua de las siete maravillas del mundo antiguo y la única que todavía perdura. ",http://p-gruporpp-media.s3.amazonaws.com/2017/09/27/112511_489947.png,1263.01,Gran Pirámide de Guiza,Egipto,,Gran Pirámide de Guiza; Egipto; Gran Pirámide; Guiza;
"La Alhambra es un complejo monumental sobre una ciudad palatina andalusí situado en Granada, España. Consiste en un conjunto de antiguos palacios, jardines y fortaleza inicialmente concebido para alojar al emir y la corte del Reino Nazarí, más tarde como residencia real castellana y de sus representantes.",https://elblogdelemperador.files.wordpress.com/2019/04/dawn_charles_v_palace_alhambra_granada_andalusia_spain.jpg?w=1200,1472.15,La Alhambra,España,Granada,La Alhambra; Granada; España;
"La torre Eiffel?, inicialmente llamada tour de 300 mètres (torre de 300 metros), es una estructura de hierro pudelado diseñada por los ingenieros Maurice Koechlin y Émile Nouguier, dotada de su aspecto definitivo por el arquitecto Stephen Sauvestre y construida por el ingeniero francés Alexandre Gustave Eiffel y sus colaboradores para la Exposición Universal de 1889 en París.",https://static.markiza.sk/a501/image/file/2/0187/yixV.shutterstock_129708554_jpg.jpg,1735.96,Torre Eiffel,Francia,París,Torre Eiffel; París; Francia; Ciudad del Amor;
"Hollywood Sign es el nombre con el que se conoce al famoso letrero gigantesco situado en una colina conocida como Monte Lee, que forma parte del Parque Griffith, en el distrito de Hollywood Hills, en Los Ángeles, California. El letrero está formado por las letras de la palabra ""Hollywood"" en mayúsculas y de color blanco. Cada letra mide unos 13,7 metros de altura y en total, el cartel mide unos 106,7 metros de longitud.",https://storage.strelka.com/i/55108fe3-ddf8-4f68-9480-ecee368938fc/w/1700,542.48,Hollywood Sign,EE.UU,Los Ángeles,Hollywood Sign; Los Ángeles; EE.UU; Señal de Hollywood;
"El Templo Expiatorio de la Sagrada Familia (en catalán, Temple Expiatori de la Sagrada Família), conocido simplemente como la Sagrada Familia, es una basílica católica de Barcelona (España), diseñada por el arquitecto Antoni Gaudí. Iniciada en 1882, todavía está en construcción.",https://centrourbano.com/revista/wp-content/uploads/Despu%C3%A9s-de-137-a%C3%B1os-la-Sagrada-Familia-obtiene-licencia-de-construcci%C3%B3n.jpg,832.51,Templo Expiatorio de la Sagrada Familia,España,Barcelona,Templo Expiatorio; Templo Expiatorio de la Sagrada Familia; Barcelona; España;
"La torre de Pisa o torre inclinada de Pisa es la torre campanario de la catedral de Pisa, situada en la plaza del Duomo de Pisa, en la ciudad del mismo nombre, municipio de la región italiana de la Toscana y capital de la provincia homónima de Italia.",https://cdn-3.expansion.mx/18/43/76b0252b4e7c88be82d143574647/torre-de-pisa-istock.jpg,1780.11,Torre de Pisa,Italia,,Torre de Pisa; Italia; Torre inclinada de Pisa;
"El Gran Palacio Real es un complejo de edificios en Bangkok, Tailandia, que sirvió como residencia oficial del rey de Tailandia desde el siglo XVIII hasta mediados del siglo XX. Con la muerte del rey Ananda Mahidol en el Palacio de Baromphiman, el rey Bhumibol Adulyadej trasladó la residencia oficial al Palacio Chitralada.",https://mochilerosentailandia.com/wp-content/uploads/2014/07/1.jpg,979.46,Gran Palacio de Bangkok,Tailandia,,Gran Palacio de Bangkok; Tailandia; Palacio;
"Si hay una excursión desde Tokio que resulta imprescindible es una visita al monte Fuji, el símbolo de Japón y uno de sus paisajes más venerados. Descubre la belleza única de esta montaña sagrada y conoce la historia del volcán más famoso del país.",https://www.japonalternativo.com/wp-content/uploads/2019/01/C%C3%B3mo-subir-al-Monte-Fuji-Jap%C3%B3n.jpg,1947.13,Monte Fuji,Japón,,Monte Fuji; Japón; Monte;
"El Castillo de Neuschwanstein, en el sur de Baviera, es uno de los lugares más visitados de Alemania y suele aparecer como imagen de portada en las guías de viaje del país. Y es que el Schloss Neuschwanstein es probablemente el mejor ejemplo de “castillo de cuento de hadas” que podemos ver en Europa. De hecho, fue el inspirador del famoso Castillo de Disney. ",https://www.losapuntesdelviajero.com/wp-content/uploads/2016/04/Castillo-de-Neuschwanstein-Baviera-Alemania-12.jpg,770.69,Castillo de Neuschwanstein,Alemania,Baviera,Castillo de Neuschwanstein; Baviera; Alemania; Castillo;
El Burj Khalifa (Torre Califa) es el edificio más alto del mundo con una altura de 828 metros. En la construcción del edificio han participado más de 12.000 personas de 30 países. Anteriormente fue conocido como Burj Dubai (Torre de Dubái).,https://images.memphistours.com/large/89300794_burj-khalifa-downtown-dubai.jpg,1484.52,Burj Khalifa,Emiratos Árabes Unidos,Dubái,Burj Khalifa; Dubái; Emiratos Árabes Unidos; 
"La Estatua de la Libertad mide 46 metros de altura (93 si contamos la base) se encuentra situada en Liberty Island (la isla de la libertad), y para visitarla es necesario ir en Ferry. El muelle se encuentra en Battery Park, al sur de Manhattan.",https://www.turismonuevayork.com/wp-content/uploads/2014/09/La-Estatua-de-la-Libertad-en-Nueva-York-760x500.jpg,1056.55,Estatua de la Libertad,EE.UU,Nueva York,Estatua de la Libertad;Nueva York; EE.UU;
"Elegir entre Cancún o Riviera Maya es una de las decisiones más comunes entre los viajeros que desean visitar el caribe mexicano, aun cuando ambos destinos están separados solo por 68 kilómetros, lo que equivale una hora de distancia, cada uno tiene su propia identidad con cualidades que los hacen únicos y diferentes.",https://comercial-production-gx-cms-content-bucket.s3.amazonaws.com/concentrador-hoteles/destino/cancun.jpg,600.23,Cancún y la Riviera Maya,México,,Cancún; Riviera Maya; México; Maya;
